ground_truth_index,row_in_group,g_leak,g_K,g_Na,stored_spike_count_distance,stored_dtw_distance
0,1310,0.0007323354958430659,0.5257644546701874,1.841663054929172,2,4393.929417417117
0,1334,0.0007312396717716091,0.5044235810464739,1.8695246219481767,2,4259.544838402942
0,1347,0.0007323334315723941,0.5037060847779161,1.8663597888460426,2,4326.22168360982
0,1384,0.0007073675433953313,0.4035428623508714,1.627714622203413,2,4096.885834729754
0,1408,0.0007312362184324824,0.5221386251658591,1.8691321540596364,2,4243.896828710839
0,1421,0.0007323299782332674,0.5214211288973012,1.8659673209575023,2,4301.181656354019
0,1458,0.0007073835554769861,0.380320250303619,1.6257475420823662,2,4119.91362112977
0,1495,0.000707422357278701,0.38510964034632617,1.6348899182933305,2,4068.204443197728
0,1532,0.0008563149667169141,1.471605995244003,3.4953871904371536,2,5118.199967347177
0,1569,0.0008563574228275808,1.2784541477806797,3.6275811961857896,2,4929.478500569681
0,1606,0.0007074665039634694,0.3446326517513564,1.6740772325269693,2,4189.527060615915
0,1643,0.0007072126541108407,0.3948532365065879,1.633791412312438,2,4089.4994838153384
0,1667,0.0007311388864603206,0.5184214081727339,1.8467130658199153,2,4325.272095505186
0,1680,0.0007322326462611056,0.5177039119041761,1.8435482327177812,2,4338.636122043253
0,1717,0.0007078599597627501,0.355438364939835,1.6096482753527424,2,4231.920823371595
0,1754,0.0008622796063260333,1.3715332874912454,3.690879594674397,2,5003.694182764821
0,1791,0.0007082625793644557,0.40766502745529726,1.637169161745431,2,4101.010181392964
0,1828,0.0007082763760538228,0.35880092570068606,1.6747804406385423,2,4241.570090069726
0,1865,0.0008627665008384359,1.1874971163132346,3.7235209523271156,2,5056.068912613366
0,1889,0.0007072139420451777,0.39288811947678515,1.632413454855069,2,4059.2259115952415
0,1902,0.0007083077018459627,0.3921706232082273,1.629248621752935,2,4122.0423291764655
0,1939,0.0007083226754036046,0.38437065013045507,1.6332592889197415,2,4124.65515681967
0,1963,0.0007072297241477977,0.405983559358964,1.62623275072195,2,4101.740801102019
0,1976,0.0007083234839485827,0.4052660630904062,1.623067917619816,2,4112.049612173048
0,2013,0.0007083594813398471,0.3575477153838634,1.6072554611192242,2,4233.442536434685
0,2050,0.0007321100791450392,0.43752343326354287,1.9408065134614139,2,4304.562379672541
0,2087,0.0007321090724685328,0.5231921384379286,1.8919015236428613,2,4283.5012788490485
0,2124,0.0007084132953242387,0.4123086499316301,1.638733904353575,2,4107.851792772875
0,2161,0.0007084198123950755,0.39858650689238306,1.6386899945733238,2,4093.9580530604812
0,2185,0.0007073422929419427,0.3867658455390494,1.6347876301629825,2,4083.576735739777
