model,perturbation_pct,mode,efficacy_retained_pct_of_unperturbed
single-compartment differentiable,12.0,worst combination of directions,-91.2844
single-compartment differentiable,13.0,one conductance at a time,-94.4954
single-compartment differentiable,13.0,"joint draws, median",71.5596
single-compartment differentiable,13.0,"joint draws, 5th percentile",-90.367
single-compartment differentiable,13.0,worst combination of directions,-94.9541
single-compartment differentiable,14.000000000000002,one conductance at a time,-94.9541
single-compartment differentiable,14.000000000000002,"joint draws, median",72.0183
single-compartment differentiable,14.000000000000002,"joint draws, 5th percentile",-91.2844
single-compartment differentiable,14.000000000000002,worst combination of directions,-94.9541
single-compartment differentiable,15.0,one conductance at a time,-95.8716
single-compartment differentiable,15.0,"joint draws, median",71.1009
single-compartment differentiable,15.0,"joint draws, 5th percentile",-94.9541
single-compartment differentiable,15.0,worst combination of directions,-95.8716
single-compartment differentiable,16.0,one conductance at a time,-97.2477
single-compartment differentiable,16.0,"joint draws, median",70.6422
single-compartment differentiable,16.0,"joint draws, 5th percentile",-94.9541
single-compartment differentiable,16.0,worst combination of directions,-97.2477
single-compartment differentiable,17.0,one conductance at a time,-100.0
single-compartment differentiable,17.0,"joint draws, median",69.2661
single-compartment differentiable,17.0,"joint draws, 5th percentile",-96.3303
single-compartment differentiable,17.0,worst combination of directions,-100.0
single-compartment differentiable,18.0,one conductance at a time,-100.0
single-compartment differentiable,18.0,"joint draws, median",68.578
single-compartment differentiable,18.0,"joint draws, 5th percentile",-97.2477
single-compartment differentiable,18.0,worst combination of directions,-100.0
single-compartment differentiable,19.0,one conductance at a time,-100.0
single-compartment differentiable,19.0,"joint draws, median",68.578
single-compartment differentiable,19.0,"joint draws, 5th percentile",-99.0826
single-compartment differentiable,19.0,worst combination of directions,-100.0
single-compartment differentiable,20.0,one conductance at a time,-100.0
single-compartment differentiable,20.0,"joint draws, median",67.8899
single-compartment differentiable,20.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,20.0,worst combination of directions,-100.0
single-compartment differentiable,21.0,one conductance at a time,-100.0
single-compartment differentiable,21.0,"joint draws, median",65.5963
single-compartment differentiable,21.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,21.0,worst combination of directions,-100.4587
single-compartment differentiable,22.0,one conductance at a time,-100.0
single-compartment differentiable,22.0,"joint draws, median",61.4679
single-compartment differentiable,22.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,22.0,worst combination of directions,-100.4587
single-compartment differentiable,23.0,one conductance at a time,-100.0
single-compartment differentiable,23.0,"joint draws, median",59.1743
single-compartment differentiable,23.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,23.0,worst combination of directions,-100.4587
single-compartment differentiable,24.0,one conductance at a time,-99.5413
single-compartment differentiable,24.0,"joint draws, median",58.7156
single-compartment differentiable,24.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,24.0,worst combination of directions,-100.4587
single-compartment differentiable,25.0,one conductance at a time,-99.5413
single-compartment differentiable,25.0,"joint draws, median",58.7156
single-compartment differentiable,25.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,25.0,worst combination of directions,-100.4587
single-compartment differentiable,26.0,one conductance at a time,-99.5413
single-compartment differentiable,26.0,"joint draws, median",57.3394
single-compartment differentiable,26.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,26.0,worst combination of directions,-100.4587
single-compartment differentiable,27.0,one conductance at a time,-99.5413
single-compartment differentiable,27.0,"joint draws, median",56.8807
single-compartment differentiable,27.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,27.0,worst combination of directions,-100.4587
single-compartment differentiable,28.000000000000004,one conductance at a time,-99.5413
single-compartment differentiable,28.000000000000004,"joint draws, median",56.422
single-compartment differentiable,28.000000000000004,"joint draws, 5th percentile",-100.0
single-compartment differentiable,28.000000000000004,worst combination of directions,-100.4587
single-compartment differentiable,28.999999999999996,one conductance at a time,-99.5413
single-compartment differentiable,28.999999999999996,"joint draws, median",56.422
single-compartment differentiable,28.999999999999996,"joint draws, 5th percentile",-100.0
single-compartment differentiable,28.999999999999996,worst combination of directions,-100.4587
single-compartment differentiable,30.0,one conductance at a time,-99.5413
single-compartment differentiable,30.0,"joint draws, median",56.422
single-compartment differentiable,30.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,30.0,worst combination of directions,-100.4587
single-compartment differentiable,31.0,one conductance at a time,-99.5413
single-compartment differentiable,31.0,"joint draws, median",53.8991
single-compartment differentiable,31.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,31.0,worst combination of directions,-100.4587
single-compartment differentiable,32.0,one conductance at a time,-99.5413
single-compartment differentiable,32.0,"joint draws, median",55.2752
single-compartment differentiable,32.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,32.0,worst combination of directions,-100.4587
single-compartment differentiable,33.0,one conductance at a time,-100.0
single-compartment differentiable,33.0,"joint draws, median",53.6697
single-compartment differentiable,33.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,33.0,worst combination of directions,-100.4587
single-compartment differentiable,34.0,one conductance at a time,-100.0
single-compartment differentiable,34.0,"joint draws, median",53.6697
single-compartment differentiable,34.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,34.0,worst combination of directions,-100.4587
single-compartment differentiable,35.0,one conductance at a time,-100.0
single-compartment differentiable,35.0,"joint draws, median",53.6697
single-compartment differentiable,35.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,35.0,worst combination of directions,-100.4587
single-compartment differentiable,36.0,one conductance at a time,-100.0
single-compartment differentiable,36.0,"joint draws, median",53.6697
single-compartment differentiable,36.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,36.0,worst combination of directions,-100.4587
single-compartment differentiable,37.0,one conductance at a time,-100.0
single-compartment differentiable,37.0,"joint draws, median",52.2936
single-compartment differentiable,37.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,37.0,worst combination of directions,-100.4587
single-compartment differentiable,38.0,one conductance at a time,-100.0
single-compartment differentiable,38.0,"joint draws, median",52.2936
single-compartment differentiable,38.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,38.0,worst combination of directions,-100.4587
single-compartment differentiable,39.0,one conductance at a time,-100.4587
single-compartment differentiable,39.0,"joint draws, median",52.2936
single-compartment differentiable,39.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,39.0,worst combination of directions,-100.4587
single-compartment differentiable,40.0,one conductance at a time,-100.4587
single-compartment differentiable,40.0,"joint draws, median",52.2936
single-compartment differentiable,40.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,40.0,worst combination of directions,-100.4587
single-compartment differentiable,41.0,one conductance at a time,-100.4587
single-compartment differentiable,41.0,"joint draws, median",52.2936
single-compartment differentiable,41.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,41.0,worst combination of directions,-100.9174
single-compartment differentiable,42.0,one conductance at a time,-100.4587
single-compartment differentiable,42.0,"joint draws, median",52.2936
single-compartment differentiable,42.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,42.0,worst combination of directions,-100.9174
single-compartment differentiable,43.0,one conductance at a time,-100.4587
single-compartment differentiable,43.0,"joint draws, median",44.0367
single-compartment differentiable,43.0,"joint draws, 5th percentile",-100.0
single-compartment differentiable,43.0,worst combination of directions,-100.9174
single-compartment differentiable,44.0,one conductance at a time,-100.4587
single-compartment differentiable,44.0,"joint draws, median",44.0367
single-compartment differentiable,44.0,"joint draws, 5th percentile",-100.4587
single-compartment differentiable,44.0,worst combination of directions,-100.9174
single-compartment differentiable,45.0,one conductance at a time,-100.9174
single-compartment differentiable,45.0,"joint draws, median",43.1193
single-compartment differentiable,45.0,"joint draws, 5th percentile",-100.4587
single-compartment differentiable,45.0,worst combination of directions,-101.3761
single-compartment differentiable,46.0,one conductance at a time,-100.9174
single-compartment differentiable,46.0,"joint draws, median",43.1193
single-compartment differentiable,46.0,"joint draws, 5th percentile",-100.4587
single-compartment differentiable,46.0,worst combination of directions,-101.3761
single-compartment differentiable,47.0,one conductance at a time,-100.9174
single-compartment differentiable,47.0,"joint draws, median",43.1193
single-compartment differentiable,47.0,"joint draws, 5th percentile",-100.4587
single-compartment differentiable,47.0,worst combination of directions,-101.3761
single-compartment differentiable,48.0,one conductance at a time,-100.9174
single-compartment differentiable,48.0,"joint draws, median",43.1193
single-compartment differentiable,48.0,"joint draws, 5th percentile",-100.4587
single-compartment differentiable,48.0,worst combination of directions,-101.3761
single-compartment differentiable,49.0,one conductance at a time,-101.3761
single-compartment differentiable,49.0,"joint draws, median",41.055
single-compartment differentiable,49.0,"joint draws, 5th percentile",-100.9174
single-compartment differentiable,49.0,worst combination of directions,-101.3761
single-compartment differentiable,50.0,one conductance at a time,-101.3761
single-compartment differentiable,50.0,"joint draws, median",41.2844
single-compartment differentiable,50.0,"joint draws, 5th percentile",-100.9174
single-compartment differentiable,50.0,worst combination of directions,-101.3761
